Component_1,Smiles_1,Component_2,Smiles_2,T_EP,mu_1,log10_1,FreeE_1,H_int_1,H_MF_1,H_HB_1,H_vdW_1,mu_2,log10_2,FreeE_2,H_int_2,H_MF_2,H_HB_2,H_vdW_2
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],303.5,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],303.4,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],322.5,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],321.5,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],333.4,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],334.3,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],344.1,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],343.5,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],517.4,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],517.5,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],473.6,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],473.9,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],404.0,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],403.2,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],352.0,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],351.7,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],323.5,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],323.5,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],333.7,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],333.5,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],340.5,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],340.9,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],345.5,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],346.1,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],352.6,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],352.8,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],560.7,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],546.4,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],547.0,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],528.9,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],493.5,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],493.5,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],456.6,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],456.7,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],419.9,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],419.6,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],430.0,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],429.4,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],437.3,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],437.8,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],445.9,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],445.5,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],458.6,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],458.6,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],463.3,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],463.4,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],543.6,1.07934,-14.22213,-543769.36013,-6.84344,7.76265,-3.01617,-11.58992,1.86004,-13.12521,-495309.1492,-5.29994,6.49089,-2.67737,-9.11346
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],523.7,1.07934,-14.22213,-543769.36013,-6.84344,7.76265,-3.01617,-11.58992,1.86004,-13.12521,-495309.1492,-5.29994,6.49089,-2.67737,-9.11346
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],483.6,1.07934,-14.22213,-543769.36013,-6.84344,7.76265,-3.01617,-11.58992,1.86004,-13.12521,-495309.1492,-5.29994,6.49089,-2.67737,-9.11346
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],443.1,1.07934,-14.22213,-543769.36013,-6.84344,7.76265,-3.01617,-11.58992,1.86004,-13.12521,-495309.1492,-5.29994,6.49089,-2.67737,-9.11346
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],386.6,1.07934,-14.22213,-543769.36013,-6.84344,7.76265,-3.01617,-11.58992,1.86004,-13.12521,-495309.1492,-5.29994,6.49089,-2.67737,-9.11346
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],403.4,1.07934,-14.22213,-543769.36013,-6.84344,7.76265,-3.01617,-11.58992,1.86004,-13.12521,-495309.1492,-5.29994,6.49089,-2.67737,-9.11346
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],373.9,1.07934,-14.22213,-543769.36013,-6.84344,7.76265,-3.01617,-11.58992,1.86004,-13.12521,-495309.1492,-5.29994,6.49089,-2.67737,-9.11346
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],363.32,1.07934,-14.22213,-543769.36013,-6.84344,7.76265,-3.01617,-11.58992,1.86004,-13.12521,-495309.1492,-5.29994,6.49089,-2.67737,-9.11346
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],375.15,1.07934,-14.22213,-543769.36013,-6.84344,7.76265,-3.01617,-11.58992,1.86004,-13.12521,-495309.1492,-5.29994,6.49089,-2.67737,-9.11346
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],368.52,1.07934,-14.22213,-543769.36013,-6.84344,7.76265,-3.01617,-11.58992,1.86004,-13.12521,-495309.1492,-5.29994,6.49089,-2.67737,-9.11346
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],384.48,1.07934,-14.22213,-543769.36013,-6.84344,7.76265,-3.01617,-11.58992,1.86004,-13.12521,-495309.1492,-5.29994,6.49089,-2.67737,-9.11346
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],393.78,1.07934,-14.22213,-543769.36013,-6.84344,7.76265,-3.01617,-11.58992,1.86004,-13.12521,-495309.1492,-5.29994,6.49089,-2.67737,-9.11346
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],557.2,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],535.6,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],535.5,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],498.7,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],471.4,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],459.4,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],416.7,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],415.5,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],383.6,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],382.9,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],340.8,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],341.5,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],313.6,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],313.3,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],323.6,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],338.9,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],353.5,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,Urea,NC(N)=O,291.15,0.7266,-9.73698,-349913.94384,-8.09973,4.99079,-3.85369,-9.23683,-1.63866,-3.35321,-141433.54712,-7.44452,1.71945,-5.36045,-3.80351
[MeCh]Cl,COCC[N+](C)(C)C.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],553.1,2.2934,-13.31368,-519968.81405,-5.93186,7.89215,-3.50703,-10.31697,1.82189,-13.15318,-495309.18734,-5.00037,6.74826,-2.73003,-9.01859
[MeCh]Cl,COCC[N+](C)(C)C.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],523.0,2.2934,-13.31368,-519968.81405,-5.93186,7.89215,-3.50703,-10.31697,1.82189,-13.15318,-495309.18734,-5.00037,6.74826,-2.73003,-9.01859
[MeCh]Cl,COCC[N+](C)(C)C.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],491.2,2.2934,-13.31368,-519968.81405,-5.93186,7.89215,-3.50703,-10.31697,1.82189,-13.15318,-495309.18734,-5.00037,6.74826,-2.73003,-9.01859
[MeCh]Cl,COCC[N+](C)(C)C.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],453.7,2.2934,-13.31368,-519968.81405,-5.93186,7.89215,-3.50703,-10.31697,1.82189,-13.15318,-495309.18734,-5.00037,6.74826,-2.73003,-9.01859
[MeCh]Cl,COCC[N+](C)(C)C.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],411.7,2.2934,-13.31368,-519968.81405,-5.93186,7.89215,-3.50703,-10.31697,1.82189,-13.15318,-495309.18734,-5.00037,6.74826,-2.73003,-9.01859
[MeCh]Cl,COCC[N+](C)(C)C.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],416.4,2.2934,-13.31368,-519968.81405,-5.93186,7.89215,-3.50703,-10.31697,1.82189,-13.15318,-495309.18734,-5.00037,6.74826,-2.73003,-9.01859
[MeCh]Cl,COCC[N+](C)(C)C.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],417.7,2.2934,-13.31368,-519968.81405,-5.93186,7.89215,-3.50703,-10.31697,1.82189,-13.15318,-495309.18734,-5.00037,6.74826,-2.73003,-9.01859
[MeCh]Cl,COCC[N+](C)(C)C.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],433.3,2.2934,-13.31368,-519968.81405,-5.93186,7.89215,-3.50703,-10.31697,1.82189,-13.15318,-495309.18734,-5.00037,6.74826,-2.73003,-9.01859
[MeCh]Cl,COCC[N+](C)(C)C.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],433.1,2.2934,-13.31368,-519968.81405,-5.93186,7.89215,-3.50703,-10.31697,1.82189,-13.15318,-495309.18734,-5.00037,6.74826,-2.73003,-9.01859
