Component_1,Smiles_1,Component_2,Smiles_2,T_EP,X_1,mu_c05#1,log10_c05#1,FreeE_c05#1,H_int_c05#1,H_MF_c05#1,H_HB_c05#1,H_vdW_c05#1,mu_c05#2,log10_c05#2,FreeE_c05#2,H_int_c05#2,H_MF_c05#2,H_HB_c05#2,H_vdW_c05#2
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],303.5,0.599,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],303.4,0.6,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],322.5,0.6990000000000001,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],321.5,0.7010000000000001,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],333.4,0.798,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],334.3,0.8,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],344.1,0.897,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],343.5,0.9,1.70957,-12.94494,-505252.11121,-5.23694,7.71299,-2.72217,-10.22775,1.84356,-13.13729,-495309.16567,-4.98213,6.77145,-2.63998,-9.11359
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],517.4,0.10099999999999998,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],517.5,0.10099999999999998,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],473.6,0.20099999999999996,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],473.9,0.20299999999999996,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],403.2,0.30100000000000005,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],404.0,0.30100000000000005,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],351.7,0.4,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],352.0,0.4,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],323.5,0.499,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],323.5,0.501,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],333.7,0.6,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],333.5,0.602,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],340.5,0.698,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],340.9,0.6990000000000001,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],345.5,0.7989999999999999,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],346.1,0.8,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],352.6,0.898,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],352.8,0.9,0.6646,-11.57062,-552476.28154,-6.41887,6.39134,-3.28401,-9.5262,1.79881,-13.17011,-495309.21042,-5.44385,6.34013,-2.79867,-8.9853
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],560.7,0.05500000000000005,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],546.4,0.08999999999999997,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],547.0,0.08999999999999997,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],528.9,0.133,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],493.5,0.19499999999999995,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],493.5,0.19999999999999996,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],456.6,0.28300000000000003,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],456.7,0.28500000000000003,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],419.9,0.374,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],419.6,0.378,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],430.0,0.46299999999999997,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],429.4,0.477,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],437.3,0.569,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],437.8,0.5720000000000001,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],445.9,0.677,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],445.5,0.685,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],458.6,0.788,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],458.6,0.789,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],463.3,0.878,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],463.4,0.88,1.79493,-11.78109,-546030.44312,-5.12801,8.27437,-1.91314,-11.48923,1.83888,-13.14072,-495309.17035,-4.8457,6.70681,-2.4546,-9.09791
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],543.6,0.10199999999999998,1.07934,-14.22213,-543769.36013,-6.84344,7.76265,-3.01617,-11.58992,1.86004,-13.12521,-495309.1492,-5.29994,6.49089,-2.67737,-9.11346
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],523.7,0.19899999999999995,1.07934,-14.22213,-543769.36013,-6.84344,7.76265,-3.01617,-11.58992,1.86004,-13.12521,-495309.1492,-5.29994,6.49089,-2.67737,-9.11346
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],483.6,0.30100000000000005,1.07934,-14.22213,-543769.36013,-6.84344,7.76265,-3.01617,-11.58992,1.86004,-13.12521,-495309.1492,-5.29994,6.49089,-2.67737,-9.11346
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],443.1,0.402,1.07934,-14.22213,-543769.36013,-6.84344,7.76265,-3.01617,-11.58992,1.86004,-13.12521,-495309.1492,-5.29994,6.49089,-2.67737,-9.11346
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],386.6,0.45,1.07934,-14.22213,-543769.36013,-6.84344,7.76265,-3.01617,-11.58992,1.86004,-13.12521,-495309.1492,-5.29994,6.49089,-2.67737,-9.11346
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],403.4,0.502,1.07934,-14.22213,-543769.36013,-6.84344,7.76265,-3.01617,-11.58992,1.86004,-13.12521,-495309.1492,-5.29994,6.49089,-2.67737,-9.11346
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],373.9,0.5509999999999999,1.07934,-14.22213,-543769.36013,-6.84344,7.76265,-3.01617,-11.58992,1.86004,-13.12521,-495309.1492,-5.29994,6.49089,-2.67737,-9.11346
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],363.32,0.601,1.07934,-14.22213,-543769.36013,-6.84344,7.76265,-3.01617,-11.58992,1.86004,-13.12521,-495309.1492,-5.29994,6.49089,-2.67737,-9.11346
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],375.15,0.649,1.07934,-14.22213,-543769.36013,-6.84344,7.76265,-3.01617,-11.58992,1.86004,-13.12521,-495309.1492,-5.29994,6.49089,-2.67737,-9.11346
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],368.52,0.6970000000000001,1.07934,-14.22213,-543769.36013,-6.84344,7.76265,-3.01617,-11.58992,1.86004,-13.12521,-495309.1492,-5.29994,6.49089,-2.67737,-9.11346
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],384.48,0.798,1.07934,-14.22213,-543769.36013,-6.84344,7.76265,-3.01617,-11.58992,1.86004,-13.12521,-495309.1492,-5.29994,6.49089,-2.67737,-9.11346
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],393.78,0.899,1.07934,-14.22213,-543769.36013,-6.84344,7.76265,-3.01617,-11.58992,1.86004,-13.12521,-495309.1492,-5.29994,6.49089,-2.67737,-9.11346
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],557.2,0.06000000000000005,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],535.6,0.09799999999999998,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],535.5,0.09999999999999998,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],498.7,0.15900000000000003,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],471.4,0.21499999999999997,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],459.4,0.246,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],416.7,0.33199999999999996,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],415.5,0.33299999999999996,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],383.6,0.399,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],382.9,0.4,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],340.8,0.499,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],341.5,0.499,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],313.6,0.5920000000000001,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],313.3,0.594,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],323.6,0.698,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],338.9,0.802,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,ChCl,C[N+](C)(C)CCO.[Cl-],353.5,0.881,0.85332,-9.64404,-349913.81712,-5.59932,6.15049,-2.15515,-9.59465,1.75966,-13.19882,-495309.24958,-5.24223,5.94487,-2.46073,-8.72637
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,Urea,NC(N)=O,291.15,0.333333333,0.7266,-9.73698,-349913.94384,-8.09973,4.99079,-3.85369,-9.23683,-1.63866,-3.35321,-141433.54712,-7.44452,1.71945,-5.36045,-3.80351
[MeCh]Cl,COCC[N+](C)(C)C.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],553.1,0.10099999999999998,2.2934,-13.31368,-519968.81405,-5.93186,7.89215,-3.50703,-10.31697,1.82189,-13.15318,-495309.18734,-5.00037,6.74826,-2.73003,-9.01859
[MeCh]Cl,COCC[N+](C)(C)C.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],523.0,0.19999999999999996,2.2934,-13.31368,-519968.81405,-5.93186,7.89215,-3.50703,-10.31697,1.82189,-13.15318,-495309.18734,-5.00037,6.74826,-2.73003,-9.01859
[MeCh]Cl,COCC[N+](C)(C)C.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],491.2,0.30300000000000005,2.2934,-13.31368,-519968.81405,-5.93186,7.89215,-3.50703,-10.31697,1.82189,-13.15318,-495309.18734,-5.00037,6.74826,-2.73003,-9.01859
[MeCh]Cl,COCC[N+](C)(C)C.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],453.7,0.401,2.2934,-13.31368,-519968.81405,-5.93186,7.89215,-3.50703,-10.31697,1.82189,-13.15318,-495309.18734,-5.00037,6.74826,-2.73003,-9.01859
