Component_1,Smiles_1,H_1,T_1,Component_2,Smiles_2,H_2,T_2,T_EP,X_1
[C2Ohmim]Cl,C[n+]1ccn(CCO)c1.[Cl-],20.97,358.88,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,352.80,0.90
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],30.90,472.98,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,560.70,0.06
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],30.90,472.98,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,546.40,0.09
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],30.90,472.98,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,547.00,0.09
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],30.90,472.98,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,528.90,0.13
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],30.90,472.98,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,493.50,0.20
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],30.90,472.98,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,493.50,0.20
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],30.90,472.98,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,456.60,0.28
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],30.90,472.98,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,456.70,0.29
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],30.90,472.98,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,419.90,0.37
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],30.90,472.98,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,419.60,0.38
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],30.90,472.98,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,430.00,0.46
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],30.90,472.98,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,429.40,0.48
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],30.90,472.98,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,437.30,0.57
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],30.90,472.98,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,437.80,0.57
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],30.90,472.98,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,445.90,0.68
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],30.90,472.98,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,445.50,0.69
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],30.90,472.98,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,458.60,0.79
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],30.90,472.98,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,458.60,0.79
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],30.90,472.98,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,463.30,0.88
[C4Mpyr]Cl,CCCC[N+]1(C)CCCC1.[Cl-],30.90,472.98,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,463.40,0.88
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],26.13,405.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,543.60,0.10
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],26.13,405.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,523.70,0.20
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],26.13,405.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,483.60,0.30
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],26.13,405.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,443.10,0.40
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],26.13,405.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,386.60,0.45
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],26.13,405.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,403.40,0.50
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],26.13,405.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,373.90,0.55
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],26.13,405.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,363.32,0.60
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],26.13,405.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,375.15,0.65
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],26.13,405.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,368.52,0.70
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],26.13,405.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,384.48,0.80
[C4Py]Cl,CCCC[n+]1ccccc1.[Cl-],26.13,405.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,393.78,0.90
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,8.88,362.62,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,557.20,0.06
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,8.88,362.62,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,535.60,0.10
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,8.88,362.62,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,535.50,0.10
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,8.88,362.62,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,498.70,0.16
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,8.88,362.62,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,471.40,0.22
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,8.88,362.62,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,459.40,0.25
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,8.88,362.62,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,416.70,0.33
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,8.88,362.62,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,415.50,0.33
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,8.88,362.62,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,383.60,0.40
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,8.88,362.62,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,382.90,0.40
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,8.88,362.62,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,340.80,0.50
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,8.88,362.62,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,341.50,0.50
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,8.88,362.62,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,313.60,0.59
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,8.88,362.62,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,313.30,0.59
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,8.88,362.62,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,323.60,0.70
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,8.88,362.62,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,338.90,0.80
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,8.88,362.62,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,353.50,0.88
[Ch][OAc],CC(=O)[O-].C[N+](C)(C)CCO,8.88,362.62,Urea,NC(N)=O,14.60,405.85,291.15,0.33
[MeCh]Cl,COCC[N+](C)(C)C.[Cl-],6.72,442.00,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,553.10,0.10
[MeCh]Cl,COCC[N+](C)(C)C.[Cl-],6.72,442.00,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,523.00,0.20
[MeCh]Cl,COCC[N+](C)(C)C.[Cl-],6.72,442.00,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,491.20,0.30
[MeCh]Cl,COCC[N+](C)(C)C.[Cl-],6.72,442.00,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,453.70,0.40
[MeCh]Cl,COCC[N+](C)(C)C.[Cl-],6.72,442.00,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,411.70,0.50
[MeCh]Cl,COCC[N+](C)(C)C.[Cl-],6.72,442.00,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,416.40,0.60
[MeCh]Cl,COCC[N+](C)(C)C.[Cl-],6.72,442.00,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,417.70,0.70
[MeCh]Cl,COCC[N+](C)(C)C.[Cl-],6.72,442.00,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,433.30,0.85
[MeCh]Cl,COCC[N+](C)(C)C.[Cl-],6.72,442.00,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,433.10,0.89
[N2222]Cl,CC[N+](CC)(CC)CC.[Cl-],51.24,535.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,568.70,0.06
[N2222]Cl,CC[N+](CC)(CC)CC.[Cl-],51.24,535.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,564.00,0.09
[N2222]Cl,CC[N+](CC)(CC)CC.[Cl-],51.24,535.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,558.70,0.15
[N2222]Cl,CC[N+](CC)(CC)CC.[Cl-],51.24,535.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,548.40,0.21
[N2222]Cl,CC[N+](CC)(CC)CC.[Cl-],51.24,535.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,540.80,0.27
[N2222]Cl,CC[N+](CC)(CC)CC.[Cl-],51.24,535.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,532.60,0.32
[N2222]Cl,CC[N+](CC)(CC)CC.[Cl-],51.24,535.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,522.30,0.36
[N2222]Cl,CC[N+](CC)(CC)CC.[Cl-],51.24,535.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,515.80,0.40
[N2222]Cl,CC[N+](CC)(CC)CC.[Cl-],51.24,535.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,503.30,0.50
[N2222]Cl,CC[N+](CC)(CC)CC.[Cl-],51.24,535.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,514.60,0.60
[N2222]Cl,CC[N+](CC)(CC)CC.[Cl-],51.24,535.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,526.40,0.69
[N2222]Cl,CC[N+](CC)(CC)CC.[Cl-],51.24,535.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,530.40,0.80
[N2222]Cl,CC[N+](CC)(CC)CC.[Cl-],51.24,535.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,534.50,0.88
[N3333]Cl,CCC[N+](CCC)(CCC)CCC.[Cl-],66.58,502.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,573.40,0.05
[N3333]Cl,CCC[N+](CCC)(CCC)CCC.[Cl-],66.58,502.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,563.20,0.12
[N3333]Cl,CCC[N+](CCC)(CCC)CCC.[Cl-],66.58,502.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,542.90,0.22
[N3333]Cl,CCC[N+](CCC)(CCC)CCC.[Cl-],66.58,502.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,531.70,0.25
[N3333]Cl,CCC[N+](CCC)(CCC)CCC.[Cl-],66.58,502.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,518.80,0.29
[N3333]Cl,CCC[N+](CCC)(CCC)CCC.[Cl-],66.58,502.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,497.70,0.38
[N3333]Cl,CCC[N+](CCC)(CCC)CCC.[Cl-],66.58,502.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,478.20,0.49
[N3333]Cl,CCC[N+](CCC)(CCC)CCC.[Cl-],66.58,502.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,484.80,0.60
[N3333]Cl,CCC[N+](CCC)(CCC)CCC.[Cl-],66.58,502.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,490.90,0.71
[N3333]Cl,CCC[N+](CCC)(CCC)CCC.[Cl-],66.58,502.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,496.60,0.80
[N3333]Cl,CCC[N+](CCC)(CCC)CCC.[Cl-],66.58,502.40,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,500.40,0.90
[N4444]Br,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],10.00,390.80,Malonic Acid,O=C(O)CC(=O)O,23.10,407.46,255.17,0.50
[N4444]Br,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],10.00,390.80,Oxalic Acid,O=C(O)C(=O)O,18.58,462.40,250.99,0.50
[N4444]Br,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],10.00,390.80,Suberic Acid,O=C(O)CCCCCCC(=O)O,30.20,415.30,315.90,0.70
[N4444]Br,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],10.00,390.80,Succinic Acid,O=C(O)CCC(=O)O,34.00,455.20,352.60,0.80
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,Arginine,NC(=[NH2+])NCCC[C@H](N)C(=O)[O-],11.94,495.16,298.22,0.86
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,Arginine,NC(=[NH2+])NCCC[C@H](N)C(=O)[O-],11.94,495.16,299.55,0.88
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,Arginine,NC(=[NH2+])NCCC[C@H](N)C(=O)[O-],11.94,495.16,299.31,0.89
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,Aspartic acid,[NH3+][C@@H](CC(=O)O)C(=O)[O-],,543.15,298.23,0.90
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,Aspartic acid,[NH3+][C@@H](CC(=O)O)C(=O)[O-],,543.15,305.96,0.91
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,Aspartic acid,[NH3+][C@@H](CC(=O)O)C(=O)[O-],,543.15,304.93,0.92
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,518.30,0.09
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,520.40,0.10
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,471.20,0.20
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,472.60,0.20
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,421.40,0.30
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,422.70,0.31
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,368.40,0.39
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,316.30,0.51
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,317.70,0.51
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,326.90,0.58
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,328.30,0.59
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,331.60,0.70
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,333.30,0.71
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,341.30,0.81
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,340.90,0.81
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,341.30,0.88
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,ChCl,C[N+](C)(C)CCO.[Cl-],4.30,578.15,341.60,0.89
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,Glutamic acid,[NH3+][C@@H](CCC(=O)O)C(=O)[O-],,472.15,303.70,0.89
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,Glutamic acid,[NH3+][C@@H](CCC(=O)O)C(=O)[O-],,472.15,302.41,0.90
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,Glutamic acid,[NH3+][C@@H](CCC(=O)O)C(=O)[O-],,472.15,302.01,0.91
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,L-Methionine,CSCC[C@H]([NH3+])C(=O)[O-],31.62,559.02,299.12,0.90
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,L-Methionine,CSCC[C@H]([NH3+])C(=O)[O-],31.62,559.02,297.41,0.91
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,L-Methionine,CSCC[C@H]([NH3+])C(=O)[O-],31.62,559.02,292.26,0.92
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,L-Serine,[NH3+][C@@H](CO)C(=O)[O-],,501.16,298.06,0.89
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,L-Serine,[NH3+][C@@H](CO)C(=O)[O-],,501.16,299.53,0.90
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,L-Serine,[NH3+][C@@H](CO)C(=O)[O-],,501.16,303.56,0.91
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,L-Threonine,C[C@@H](O)[C@H]([NH3+])C(=O)[O-],54.76,529.66,295.30,0.89
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,L-Threonine,C[C@@H](O)[C@H]([NH3+])C(=O)[O-],54.76,529.66,293.36,0.90
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,L-Threonine,C[C@@H](O)[C@H]([NH3+])C(=O)[O-],54.76,529.66,303.11,0.91
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,Stearic Acid,CCCCCCCCCCCCCCCCCC(=O)O,61.36,344.04,339.90,0.10
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,Stearic Acid,CCCCCCCCCCCCCCCCCC(=O)O,61.36,344.04,335.60,0.20
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,Stearic Acid,CCCCCCCCCCCCCCCCCC(=O)O,61.36,344.04,332.70,0.30
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,Stearic Acid,CCCCCCCCCCCCCCCCCC(=O)O,61.36,344.04,327.40,0.39
[N4444]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],14.69,344.00,Stearic Acid,CCCCCCCCCCCCCCCCCC(=O)O,61.36,344.04,322.90,0.49
