Component#1,Component#2,Smiles#1,Smiles#2,X#1,T_EP,PD,Type,groups
[N3333]Cl,[N1111]Cl,CCC[N+](CCC)(CCC)CCC.[Cl-],C[N+](C)(C)C.[Cl-],0.1,589.2,Yes,IL mixture,10.0
[N3333]Cl,[N1111]Cl,CCC[N+](CCC)(CCC)CCC.[Cl-],C[N+](C)(C)C.[Cl-],0.2,551.8,Yes,IL mixture,10.0
[N3333]Cl,[N1111]Cl,CCC[N+](CCC)(CCC)CCC.[Cl-],C[N+](C)(C)C.[Cl-],0.3,515.2,Yes,IL mixture,10.0
[N3333]Cl,[N1111]Cl,CCC[N+](CCC)(CCC)CCC.[Cl-],C[N+](C)(C)C.[Cl-],0.4,465.5,Yes,IL mixture,10.0
[N3333]Cl,[N1111]Cl,CCC[N+](CCC)(CCC)CCC.[Cl-],C[N+](C)(C)C.[Cl-],0.5,421.5,Yes,IL mixture,10.0
[N3333]Cl,[N1111]Cl,CCC[N+](CCC)(CCC)CCC.[Cl-],C[N+](C)(C)C.[Cl-],0.6,360.7,Yes,IL mixture,10.0
[N3333]Cl,[N1111]Cl,CCC[N+](CCC)(CCC)CCC.[Cl-],C[N+](C)(C)C.[Cl-],0.7,405.6,Yes,IL mixture,10.0
[N3333]Cl,[N1111]Cl,CCC[N+](CCC)(CCC)CCC.[Cl-],C[N+](C)(C)C.[Cl-],0.8,439.8,Yes,IL mixture,10.0
[N3333]Cl,[N1111]Cl,CCC[N+](CCC)(CCC)CCC.[Cl-],C[N+](C)(C)C.[Cl-],0.9,477.5,Yes,IL mixture,10.0
[N3333]Cl,ChCl,CCC[N+](CCC)(CCC)CCC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.1,563.2,Yes,IL mixture,11.0
[N3333]Cl,ChCl,CCC[N+](CCC)(CCC)CCC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.2,542.9,Yes,IL mixture,11.0
[N3333]Cl,ChCl,CCC[N+](CCC)(CCC)CCC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.25,531.7,Yes,IL mixture,11.0
[N3333]Cl,ChCl,CCC[N+](CCC)(CCC)CCC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.3,518.8,Yes,IL mixture,11.0
[N3333]Cl,ChCl,CCC[N+](CCC)(CCC)CCC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.4,497.7,Yes,IL mixture,11.0
[N3333]Cl,ChCl,CCC[N+](CCC)(CCC)CCC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.5,478.2,Yes,IL mixture,11.0
[N3333]Cl,ChCl,CCC[N+](CCC)(CCC)CCC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.6,484.8,Yes,IL mixture,11.0
[N3333]Cl,ChCl,CCC[N+](CCC)(CCC)CCC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.7,490.9,Yes,IL mixture,11.0
[N3333]Cl,ChCl,CCC[N+](CCC)(CCC)CCC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.8,496.6,Yes,IL mixture,11.0
[N3333]Cl,ChCl,CCC[N+](CCC)(CCC)CCC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.9,500.4,Yes,IL mixture,11.0
[N4444]Br,Malonic Acid,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],O=C(O)CC(=O)O,0.5,255.17,No,Type III,12.0
[N4444]Br,Oxalic Acid,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],O=C(O)C(=O)O,0.5,250.99,No,Type III,13.0
[N4444]Cl,Arginine,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],NC(=[NH2+])NCCC[C@H](N)C(=O)[O-],0.85,298.22,No,Type III,14.0
[N4444]Cl,Arginine,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],NC(=[NH2+])NCCC[C@H](N)C(=O)[O-],0.9,299.31,No,Type III,14.0
[N4444]Cl,Aspartic acid,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],[NH3+][C@@H](CC(=O)O)C(=O)[O-],0.9,298.23,No,Type III,15.0
[N4444]Cl,ChCl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.1,518.3,Yes,IL mixture,16.0
[N4444]Cl,ChCl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.2,471.2,Yes,IL mixture,16.0
[N4444]Cl,ChCl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.3,421.4,Yes,IL mixture,16.0
[N4444]Cl,ChCl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.4,368.4,Yes,IL mixture,16.0
[N4444]Cl,ChCl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.5,316.3,Yes,IL mixture,16.0
[N4444]Cl,ChCl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.55,326.9,Yes,IL mixture,16.0
[N4444]Cl,ChCl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.6,328.3,Yes,IL mixture,16.0
[N4444]Cl,ChCl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.7,331.6,Yes,IL mixture,16.0
[N4444]Cl,ChCl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.8,340.9,Yes,IL mixture,16.0
[N4444]Cl,ChCl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.85,341.3,Yes,IL mixture,16.0
[N4444]Cl,ChCl,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C[N+](C)(C)CCO.[Cl-],0.9,341.6,Yes,IL mixture,16.0
[N4444]Cl,Glutamic acid,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],[NH3+][C@@H](CCC(=O)O)C(=O)[O-],0.9,302.01,No,Type III,17.0
[N4444]Cl,L-Methionine,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],CSCC[C@H]([NH3+])C(=O)[O-],0.9,292.26,No,Type III,18.0
[N4444]Cl,L-Serine,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],[NH3+][C@@H](CO)C(=O)[O-],0.9,298.06,No,Type III,19.0
[N4444]Cl,L-Threonine,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C[C@@H](O)[C@H]([NH3+])C(=O)[O-],0.9,293.36,No,Type III,20.0
[N4444]Cl,Urea,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],NC(N)=O,0.8,300.29,No,Type III,21.0
[N5555]Br,Erythritol,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],OC[C@H](O)[C@H](O)CO,0.1,393.2,Yes,Type III,22.0
[N5555]Br,Erythritol,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],OC[C@H](O)[C@H](O)CO,0.2,380.0,Yes,Type III,22.0
[N5555]Br,Erythritol,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],OC[C@H](O)[C@H](O)CO,0.3,379.2,Yes,Type III,22.0
[N5555]Br,Erythritol,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],OC[C@H](O)[C@H](O)CO,0.4,368.9,Yes,Type III,22.0
[N5555]Br,Erythritol,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],OC[C@H](O)[C@H](O)CO,0.5,356.0,Yes,Type III,22.0
[N5555]Br,Erythritol,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],OC[C@H](O)[C@H](O)CO,0.6,344.7,Yes,Type III,22.0
[N5555]Br,Erythritol,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],OC[C@H](O)[C@H](O)CO,0.75,358.4,Yes,Type III,22.0
[N5555]Br,Erythritol,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],OC[C@H](O)[C@H](O)CO,0.8,363.1,Yes,Type III,22.0
[N5555]Br,Erythritol,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],OC[C@H](O)[C@H](O)CO,0.9,370.4,Yes,Type III,22.0
"1,1-Dimethylurea",ChCl,CN(C)C(N)=O,C[N+](C)(C)CCO.[Cl-],0.6,392.15,No,Type III,23.0
"1,3-Dimethylurea",[N2222]Br,CNC(=O)NC,CC[N+](CC)(CC)CC.[Br-],0.65,296.15,No,Type III,24.0
"1,3-Dimethylurea",ChCl,CNC(=O)NC,C[N+](C)(C)CCO.[Cl-],0.6,329.15,No,Type III,25.0
"1,8-Cineole",Ibuprofen,CC12CCC(CC1)C(C)(C)O2,CC(C)Cc1ccc(C(C)C(=O)O)cc1,0.6,260.15,No,Type V,26.0
1-Methylurea,ChCl,CNC(N)=O,C[N+](C)(C)CCO.[Cl-],0.65,302.15,No,Type III,27.0
"2,2,2-Trifluoroacetamide",ChCl,NC(=O)C(F)(F)F,C[N+](C)(C)CCO.[Cl-],0.6,294.0,No,Type III,28.0
"2,2,2-Trifluoroacetamide",ChCl,NC(=O)C(F)(F)F,C[N+](C)(C)CCO.[Cl-],0.65,243.0,No,Type III,28.0
"2,2,2-Trifluoroacetamide",ChCl,NC(=O)C(F)(F)F,C[N+](C)(C)CCO.[Cl-],0.7,229.0,No,Type III,28.0
"2,2,2-Trifluoroacetamide",Ethylammonium chloride,NC(=O)C(F)(F)F,CC[NH3+].[Cl-],0.35,300.0,Yes,Type III,29.0
"2,2,2-Trifluoroacetamide",Ethylammonium chloride,NC(=O)C(F)(F)F,CC[NH3+].[Cl-],0.5,298.7,Yes,Type III,29.0
"2,2,2-Trifluoroacetamide",Ethylammonium chloride,NC(=O)C(F)(F)F,CC[NH3+].[Cl-],0.6,294.0,Yes,Type III,29.0
"2,2,2-Trifluoroacetamide",Ethylammonium chloride,NC(=O)C(F)(F)F,CC[NH3+].[Cl-],0.65,302.5,Yes,Type III,29.0
"2,2,2-Trifluoroacetamide",Ethylammonium chloride,NC(=O)C(F)(F)F,CC[NH3+].[Cl-],0.75,308.0,Yes,Type III,29.0
"2,3-Xylenol",ChCl,Cc1cccc(O)c1C,C[N+](C)(C)CCO.[Cl-],0.6,330.5,No,Type III,30.0
"2,3-Xylenol",ChCl,Cc1cccc(O)c1C,C[N+](C)(C)CCO.[Cl-],0.65,323.6,No,Type III,30.0
"2,3-Xylenol",ChCl,Cc1cccc(O)c1C,C[N+](C)(C)CCO.[Cl-],0.75,290.8,No,Type III,30.0
"2,3-Xylenol",ChCl,Cc1cccc(O)c1C,C[N+](C)(C)CCO.[Cl-],0.8,316.3,No,Type III,30.0
"2,3-Xylenol",ChCl,Cc1cccc(O)c1C,C[N+](C)(C)CCO.[Cl-],0.85,325.0,No,Type III,30.0
"2,3-Xylenol",ChCl,Cc1cccc(O)c1C,C[N+](C)(C)CCO.[Cl-],0.9,339.8,No,Type III,30.0
"2,4,6-Trimethylphenol",ChCl,Cc1cc(C)c(O)c(C)c1,C[N+](C)(C)CCO.[Cl-],0.65,307.06,Yes,Type III,31.0
"3,4-Dimethylphenol",ChCl,Cc1ccc(O)cc1C,C[N+](C)(C)CCO.[Cl-],0.65,273.16,No,Type III,32.0
4-Hydroxybenzoic acid,ChCl,O=C(O)c1ccc(O)cc1,C[N+](C)(C)CCO.[Cl-],0.35,360.15,No,Type III,33.0
5-Phenylvaleric Acid,ChCl,O=C(O)CCCCc1ccccc1,C[N+](C)(C)CCO.[Cl-],0.6,293.15,No,Type III,34.0
Acetamide,ChCl,CC(N)=O,C[N+](C)(C)CCO.[Cl-],0.65,324.16,No,Type III,35.0
Acetamide,Ethylammonium chloride,CC(N)=O,CC[NH3+].[Cl-],0.25,335.15,Yes,Type III,36.0
Acetamide,Ethylammonium chloride,CC(N)=O,CC[NH3+].[Cl-],0.35,330.15,Yes,Type III,36.0
Acetamide,Ethylammonium chloride,CC(N)=O,CC[NH3+].[Cl-],0.4,319.15,Yes,Type III,36.0
Acetamide,Ethylammonium chloride,CC(N)=O,CC[NH3+].[Cl-],0.5,306.15,Yes,Type III,36.0
Acetamide,Ethylammonium chloride,CC(N)=O,CC[NH3+].[Cl-],0.6,293.15,Yes,Type III,36.0
